Year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_City1,Geocoded_City2,carrier_name
2018,1,30721,30693,"Boston, MA (Metropolitan Area)","Nashville, TN",10721,10693,BOS,BNA,942,857,147.04,WN,0.3854,141.85,B6,0.3487,136.92,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Nashville, TN
(36.166687, -86.779932)",Southwest
2018,1,30721,30792,"Boston, MA (Metropolitan Area)","Buffalo, NY",10721,10792,BOS,BUF,395,386,126.14,B6,0.7186,125.05,B6,0.7186,125.05,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Buffalo, NY
(39.945422, -78.64671)",JetBlue
2018,1,30721,32575,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",10721,10800,BOS,BUR,2611,13,298.76,UA,0.4017,330.14,B6,0.1282,231.77,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",United
2018,1,30721,30852,"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10721,10821,BOS,BWI,418,1373,119.44,WN,0.6038,121.73,B6,0.349,119.8,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",Southwest
2018,1,30721,30647,"Boston, MA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",10721,10874,BOS,CAK,563,13,174.14,AA,0.4867,168.39,UA,0.1947,150.5,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)",American
2018,1,30721,30994,"Boston, MA (Metropolitan Area)","Charleston, SC",10721,10994,BOS,CHS,836,355,178.92,B6,0.7477,173.47,WN,0.0335,171,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Charleston, SC
(32.77647, -79.931027)",JetBlue
2018,1,30721,30647,"Boston, MA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",10721,11042,BOS,CLE,563,516,144.88,B6,0.5739,128.49,B6,0.5739,128.49,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)",JetBlue
2018,1,30721,31057,"Boston, MA (Metropolitan Area)","Charlotte, NC",10721,11057,BOS,CLT,737,1023,172.69,AA,0.7319,179.84,B6,0.2065,145.14,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Charlotte, NC
(35.222936, -80.840161)",American
2018,1,30721,31066,"Boston, MA (Metropolitan Area)","Columbus, OH",10721,11066,BOS,CMH,640,354,212.39,DL,0.6097,222.7,WN,0.2978,178.78,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Columbus, OH
(39.962649, -82.996216)",Delta
2018,1,30721,33105,"Boston, MA (Metropolitan Area)","Cincinnati, OH",10721,11193,BOS,CVG,752,315,300.86,DL,0.7748,320.81,AA,0.1173,239.3,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Cincinnati, OH
(39.104427, -84.513808)",Delta
2018,1,30721,30194,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",10721,11259,BOS,DAL,1562,204,152.28,WN,0.9558,149.28,WN,0.9558,149.28,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Dallas/Fort Worth, TX
(40.11086, -77.035636)",Southwest
2018,1,30721,30852,"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10721,11278,BOS,DCA,418,2569,143.78,AA,0.638,145.41,B6,0.3498,139.66,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",American
2018,1,30721,30325,"Boston, MA (Metropolitan Area)","Denver, CO",10721,11292,BOS,DEN,1754,1352,246.08,UA,0.4352,272.15,WN,0.2483,217.19,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Denver, CO
(39.738453, -104.984853)",United
